This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    28170
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    17180

Total number of variables............................:     5278
                     variables with only lower bounds:      990
                variables with lower and upper bounds:     4288
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4248
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  2.8221982e-02 3.67e+01 1.67e-02  -5.7 1.03e+00    -  1.32e-01 3.22e-01h  1
 131  2.8246723e-02 5.95e+00 2.69e-02  -5.7 2.35e-01  -2.7 1.00e+00 1.00e+00h  1
 132  2.8184440e-02 1.17e-01 5.60e-03  -5.7 7.25e-01  -3.7 4.19e-01 1.00e+00h  1
 133  2.8189176e-02 2.68e-03 4.27e-05  -5.7 7.04e-03  -2.3 1.00e+00 1.00e+00h  1
 134  2.8189680e-02 5.06e-04 1.99e-05  -5.7 1.61e-03  -1.9 1.00e+00 1.00e+00h  1
 135  2.8190027e-02 4.39e-03 1.97e-05  -5.7 4.81e-03  -2.4 1.00e+00 1.00e+00h  1
 136  2.8189444e-02 3.63e-02 2.91e-05  -5.7 1.40e-02  -2.9 1.00e+00 1.00e+00h  1
 137  2.8182628e-02 1.85e+00 1.70e-04  -5.7 1.03e-01  -3.8 1.00e+00 1.00e+00h  1
 138  2.8183833e-02 3.45e-02 5.19e-05  -5.7 4.73e-03  -2.5 1.00e+00 1.00e+00h  1
 139  2.8183831e-02 5.81e-04 1.56e-05  -5.7 1.81e-03  -2.1 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  2.7195989e-02 2.59e-01 2.11e-04  -7.0 2.73e-02  -3.0 9.54e-01 9.57e-01h  1
 141  2.6896721e-02 1.47e-01 1.54e-04  -7.0 2.41e-02  -3.1 1.00e+00 7.04e-01h  1
 142  2.6749377e-02 4.14e-02 1.00e-04  -7.0 2.83e-02  -3.1 1.00e+00 7.52e-01h  1
 143  2.6674404e-02 2.38e-02 7.30e-05  -7.0 3.33e-02  -3.2 1.00e+00 1.00e+00h  1
 144  2.6673826e-02 2.57e-04 5.30e-05  -7.0 3.69e-03  -1.8 1.00e+00 1.00e+00h  1
 145  2.6664691e-02 1.52e-03 5.35e-05  -7.0 1.44e-02  -2.8 1.00e+00 1.00e+00h  1
 146  2.6658507e-02 1.13e-03 3.04e-05  -7.0 1.64e-02  -2.8 1.00e+00 1.00e+00h  1
 147  2.6653312e-02 8.32e-04 3.30e-05  -7.0 1.86e-02  -2.9 1.00e+00 1.00e+00h  1
